cl010102527;"Bouteille à décor d'oiseaux et de poème";"Chine, atelier de Jingdezhen ; Chine, Pékin, Cité interdite";"1700 / 1800  (XVIIIe siècle)";"TH 457";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102536;Vase;"Chine, atelier de Jingdezhen";"1675 / 1725  (XVIIe-XVIIIe siècle)";"TH 476";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102539;"Jarre à décor d'immortelles naviguant sur les eaux";Chine;"1723 / 1735  (2e quart du XVIIIe siècle)";"TH 481";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102542;"Tasse, d'un ensemble de quatre (TH 493 à 496)";;;"TH 493";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102544;"Théière en porcelaine ""coquille d'oeuf"" d'un service (TH 497 à 504)";"Chine, atelier de Jingdezhen";"1720 / 1740  (1ere moitié du XVIIIe siècle)";"TH 504";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102546;"Assiette, d'une paire (TH 538)";"Chine - atelier de Canton";"1730 / 1740  (XVIIIe siècle)";"TH 537";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102547;"Assiette, d'une paire (TH 540)";"Chine - atelier de Canton";"1730 / 1740  (XVIIIe siècle)";"TH 539";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102979;"Coupelle en verre rouge (d'une paire)";Anonyme;"1800 / 1900  (XIXe siècle)";"SN 227; SN 484";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010103027;"Théière avec réchaud";;;"SN 283";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010103028;"Coupe à décor de fleurs";"Chine, atelier de Jingdezhen";"1573 / 1620  ";"SN 284";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010103031;Coupe;Anonyme;;"SN 288";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010103032;Coupe;Anonyme;;"SN 289";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010103380;"Coupe décor grains de riz";;"1800 / 1900  (XIXe siècle)";"SN 491";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010103807;Aiguière;Anonyme;;"OA 6114";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), Musée national des Arts asiatiques - Guimet";
cl010104450;"Vase cornet aux armes du duc d'Orléans d'une série de quatre (voir OA 5484, OA 5485 et OA 5486)";Inconnue;"1700 / 1715  (Début du XVIIIe siècle)";"OA 5483";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105534;"Petite aiguière à couvercle (manque le socle)";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 118";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105535;"Figurine en jade vert pâle";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 120";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105537;"Vase en jade vert pâle";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 122";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105545;"Coupe en jade gris";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 134";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105549;"Vase en cristal de roche";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 144";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105551;"Vase en jade à triple récipient";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 154";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105554;"Couvercle de coupe en jade (manque la coupe)";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 159";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105555;"Flambeau en jade vert pâle, formant une paire avec R 152";Anonyme;"1800 / 1900  (XIXe siècle)";"R 160";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105563;"Petit brûle-parfum en forme de vase à anses, à couvercle ajouré";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 170";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105564;"Petit vase en jade à couvercle, avec socle en bois";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 171";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105565;"Flacon en forme d'oiseau dont la tête constitue le couvercle";Anonyme;"1800 / 1900  (XIXe siècle)";"R 173";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105568;"Vase évasé en jade vert pâle";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 179";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105573;"Vase en jade à couvercle";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 188";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105574;"Sceptre, d'un ensemble de quatre (R 189 à R 192)";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 189";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105607;"Petite théière en agate bleu pâle veinée, avec couvercle";Anonyme;"1800 / 1900  (XIXe siècle)";"R 391";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105619;"Flacon en jade gris avec bouchon en améthyste, d'une paire avec R 433";Anonyme;"1800 / 1900  (XIXe siècle)";"R 434";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105644;"Soucoupe d'une série de quatre (R 1002 à 1005)";;"1700 / 1800  (XVIIIe siècle [?])";"R 1002";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105651;"Assiette en porcelaine coquille d'oeuf";"Chine, atelier de Jingdezhen";"1730 / 1735  (XVIIIe siècle)";"R 1034";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105656;"Tasse, d'une série de douze tasses et soucoupes (R 1041 à 1052)";;"1735 / 1796  (XVIIIe siècle)";"R 1047";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105657;"Tasse à thé et soucoupe";"Chine - atelier de Canton";"1740 / 1760  (XVIIIe siècle)";"R 1048";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105662;"Petite théière en porcelaine bleue à décor polychrome";;"1800 / 1900  (XIXe siècle)";"R 1130";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105664;"Tasse à revers rubis avec sa soucoupe";;"1735 / 1796  (XVIIIe siècle)";"R 1132";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105943;"Vase en cristal de roche à double récipient";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 138";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105945;"Petite coupe à trois pieds";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 153";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105959;"Petite coupe en agate à deux anses figurant une fleur de campanule";;"1800 / 1900  (XIXe siècle)";"R 400";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105971;"Petite coupe basse sur trois pieds en jade et de forme hexagonale";;;"R 439";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106227;"Soucoupe, d'une série de douze (R 946 à 957)";;;"R 951";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106230;"Soucoupe, d'une série de douze (R 946 à 957)";;;"R 956";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106231;"Soucoupe, d'une série de douze (R 946 à 957)";;;"R 957";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106243;"Assiette creuse";;;"R 1009; SN 529";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106245;"Assiette en porcelaine coquille d'oeuf, revers rubis";;;"R 1014";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106251;"Assiette porcelaine coquille d'oeuf à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1035";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106253;"Vase d'une paire (avec R 1040)";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 1039";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106254;"Tasse et soucoupe, d'une série de douze (R 1041 à 1052)";;"1735 / 1796  (XVIIIe siècle)";"R 1041";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106258;"Soucoupe à bord festonné";;"1800 / 1900  (XIXe siècle)";"R 1057";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106261;"Assiette Ne doit pas repartir rue Berryer";"Chine, atelier de Jingdezhen";"vers 1730";"R 1063";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106270;"Assiette en porcelaine de Chine à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1088";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106275;"Assiette en porcelaine coquille d'oeuf, réserve rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1104";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106277;"Assiette en porcelaine coquille d'oeuf revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1109";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106280;"Assiette en porcelaine coquille d'oeuf revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1118";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106282;"Assiette en porcelaine coquille d'oeuf à revers blanc";;"1700 / 1800  (XVIIIe siècle)";"R 1123";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106291;"Tasse à thé et soucoupe d'une paire (R 1151 et 1152)";;"1700 / 1800  (XVIIIe siècle)";"R 1151";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106299;"Tasse et soucoupe";"Chine, atelier de Jingdezhen";"1700 / 1800  (XVIIIe siècle)";"R 1158";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106303;"Tasse et soucoupe d'une série, d'un service à thé et à café de dix-huit pièces (avec R 1160 à R 1172)";Anonyme;"1725 / 1750  (2e quart du XVIIIe siècle)";"R 1163";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106306;"Tasse et soucoupe d'une série, d'un service à thé et à café de dix-huit pièces (avec R 1160 à R 1172)";Anonyme;"1723 / 1735  (2e quart du XVIIIe siècle)";"R 1166";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106312;"Tasse à café et soucoupe d'une série de cinq ; d'un service à thé et à café de dix-huit pièces (R 1160 à 1172)";;"1700 / 1800  (XVIIIe siècle)";"R 1172";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106314;"Potiche à couvercle d'un service à thé et à café de dix-huit pièces (R 1173 à 1191)";"Chine, atelier de Jingdezhen";"vers 1735";"R 1174";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106315;"Plateau à six pans d'un service à thé et à café de dix-huit pièces (R 1173 à 1191)";"Chine, atelier de Jingdezhen";"vers 1735";"R 1175";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106317;"Bol avec son couvercle, d'un service à thé et à café de dix-huit pièces (R 1173 à 1191)";"Chine, atelier de Jingdezhen";"vers 1735";"R 1177";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106318;"Tasse et soucoupe d'un service à thé et à café de dix-huit pièces (R 1173 à 1191)";"Chine, atelier de Jingdezhen";"vers 1735";"R 1178";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106321;"Tasse à thé d'un service à thé et à café de dix-huit pièces (R 1173 à 1191)";"Chine, atelier de Jingdezhen";"vers 1735";"R 1181";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106325;"Tasse à thé d'un service à thé et à café de dix-huit pièces (R 1173 à 1191).";"Chine, atelier de Jingdezhen";"vers 1735";"R 1185";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106328;"Tasse à café avec soucoupe, d'un service à thé et à café de dix-huit pièces (R 1173 à 1191)";"Chine, atelier de Jingdezhen";"vers 1735";"R 1188";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106334;"Vase sur pied bas";;;"R 1196";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106335;"Vase en forme de rouleau";Chine;"avant 1922";"R 1197";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106341;"Tasse et soucoupe d'un service à thé et à café de dix pièces (R 1198 à 1207)";;"1800 / 1900  (XIXe siècle)";"R 1204";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106346;"Pot à lait à couvercle, d'un service à thé et à café de douze pièces (R 1208 à 1219)";;;"R 1209";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106354;"Tasse à café avec soucoupe, d'un service à thé et à café de douze pièces (R 1208 à 1219)";;"1700 / 1800  (XVIIIe siècle)";"R 1218";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106356;"Pot à lait d'un service de trois pièces (R 1220 à 1223)";;"1700 / 1800  (XVIIIe siècle)";"R 1221";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106360;Soucoupe;"Chine - atelier de Canton";"1760 / 1780  (XVIIIe siècle)";"R 1226";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106442;"Jeu d'anneau en jade avec manche en bronze doré émaillé";;"1800 / 1900  (XIXe siècle)";"R 1341";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106446;"Coupe en jade gravée de chrysanthèmes, à deux anses formées par des lotus avec anneaux";;"1800 / 1900  (XIXe siècle)";"R 1347";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106449;"Soucoupe en jade de forme ronde";Anonyme;"1800 / 1900  (XIXe siècle)";"R 1350";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106463;"Bol en jade, de forme ronde et évasée, avec frise et médaillons à caractères chinois gravés";;"1800 / 1900  (XIXe siècle)";"R 1376";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
